Year,Cuat,tasa.paro,Genero,prov,Provincias
2012,2,20.997920997921,Mujeres,24,León
2012,3,23.0452674897119,Mujeres,24,León
2012,4,25.7345491388045,Mujeres,24,León
2013,1,25.8349705304519,Mujeres,24,León
2013,2,26.0617760617761,Mujeres,24,León
2013,3,23.6526946107784,Mujeres,24,León
2013,4,23.2606438213915,Mujeres,24,León
2014,1,27.3279352226721,Mujeres,24,León
2014,2,26.4646464646465,Mujeres,24,León
2014,3,24.4126659856997,Mujeres,24,León
2014,4,23.8046795523906,Mujeres,24,León
2011,1,12.5391849529781,Mujeres,25,Lleida
2011,2,10.6490872210953,Mujeres,25,Lleida
2011,3,12.7234490010515,Mujeres,25,Lleida
2011,4,20.2453987730061,Mujeres,25,Lleida
2012,1,17.223382045929,Mujeres,25,Lleida
2012,2,17.9563492063492,Mujeres,25,Lleida
2012,3,13.8686131386861,Mujeres,25,Lleida
2012,4,17.6350662589195,Mujeres,25,Lleida
2013,1,17.6352705410822,Mujeres,25,Lleida
2013,2,18.1634712411705,Mujeres,25,Lleida
2013,3,14.1858141858142,Mujeres,25,Lleida
2013,4,16.78391959799,Mujeres,25,Lleida
2014,1,16.5226781857451,Mujeres,25,Lleida
2014,2,17.5564681724846,Mujeres,25,Lleida
2014,3,15.0943396226415,Mujeres,25,Lleida
2014,4,17.2448979591837,Mujeres,25,Lleida
2011,1,16.361071932299,Mujeres,26,"Rioja, La"
2011,2,16.5487977369166,Mujeres,26,"Rioja, La"
2011,3,18.6738836265223,Mujeres,26,"Rioja, La"
2011,4,19.9445983379501,Mujeres,26,"Rioja, La"
2012,1,22.7336122733612,Mujeres,26,"Rioja, La"
2012,2,25.0700280112045,Mujeres,26,"Rioja, La"
2012,3,22.6760563380282,Mujeres,26,"Rioja, La"
2012,4,19.1977077363897,Mujeres,26,"Rioja, La"
2013,1,20.1716738197425,Mujeres,26,"Rioja, La"
2013,2,20.8333333333333,Mujeres,26,"Rioja, La"
2013,3,20.1936376210235,Mujeres,26,"Rioja, La"
2013,4,22.8767123287671,Mujeres,26,"Rioja, La"
2014,1,22.7972027972028,Mujeres,26,"Rioja, La"
2014,2,20.3883495145631,Mujeres,26,"Rioja, La"
2014,3,20.2445652173913,Mujeres,26,"Rioja, La"
2014,4,21.3980028530671,Mujeres,26,"Rioja, La"
2011,1,13.7700534759358,Mujeres,27,Lugo
2011,2,11.0661268556005,Mujeres,27,Lugo
2011,3,12.1010638297872,Mujeres,27,Lugo
2011,4,12.8947368421053,Mujeres,27,Lugo
2012,1,15.4777927321669,Mujeres,27,Lugo
2012,2,14.3426294820717,Mujeres,27,Lugo
2012,3,14.0350877192982,Mujeres,27,Lugo
2012,4,14.2276422764228,Mujeres,27,Lugo
2013,1,18.0592991913747,Mujeres,27,Lugo
2013,2,19.5187165775401,Mujeres,27,Lugo
2013,3,16.3101604278075,Mujeres,27,Lugo
2013,4,19.6,Mujeres,27,Lugo
2014,1,21.6251638269987,Mujeres,27,Lugo
2014,2,21.3709677419355,Mujeres,27,Lugo
2014,3,18.9750692520776,Mujeres,27,Lugo
2014,4,17.5732217573222,Mujeres,27,Lugo
2011,1,15.7377449484158,Mujeres,28,Madrid
2011,2,14.8199613339778,Mujeres,28,Madrid
2011,3,17.1856693593143,Mujeres,28,Madrid
2011,4,17.35638526148,Mujeres,28,Madrid
2012,1,17.2068179090145,Mujeres,28,Madrid
2012,2,17.6716168664639,Mujeres,28,Madrid
2012,3,17.9525849067986,Mujeres,28,Madrid
2012,4,18.809969223342,Mujeres,28,Madrid
2013,1,20.0143257923954,Mujeres,28,Madrid
2013,2,19.6873083997548,Mujeres,28,Madrid
2013,3,20.1554726368159,Mujeres,28,Madrid
2013,4,21.5302491103203,Mujeres,28,Madrid
2014,1,21.9305883816395,Mujeres,28,Madrid
