^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
1612342^ 70 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 3ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^Calle Vegas, 5^ Barrio Zona Renfe ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^210.000
1894440^ 70 m² construidos, 60 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 3ª exterior ^ Sin ascensor ^^^^^^^^Calle Espada, 29^ Barrio Casco Antiguo ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^290.000
1922645^ 218 m² construidos ^ 5 habitaciones ^ 3 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur, oeste ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^^^^^^^ Planta 9ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Porto Lagos, 7^ Urb. parque lisboa ^ Barrio Parque Lisboa - La Paz ^ Distrito Parque Lisboa - La Paz ^ Alcorcón ^ Zona sur, Madrid ^^^^245.000
1945026^ 109 m² construidos, 95 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte, este, oeste ^ Certificación energética: no indicado ^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle Olímpica Conchita Puig, 6^ Barrio Parque Ondarreta - Urtinsa ^ Distrito Parque Ondarreta - Urtinsa ^ Alcorcón ^ Zona sur, Madrid ^^^^^125.000
1987069^ 85 m² construidos ^ 2 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Fuentecisneros, 9^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^^91.000
2006450^ 68 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación este ^ Certificación energética: no indicado ^^^^^^^^^ Planta 9ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Ribadeo, 3^ Barrio Valderas - Los Castillos ^ Distrito Valderas - Los Castillos ^ Alcorcón ^ Zona sur, Madrid ^^^^^185.000
2073279^ 100 m² construidos, 85 m² útiles ^ 2 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^^^^^^^^^^183.000
25025394^ 230 m² construidos, 180 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^^ Bajo exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^^79.900
25190438^ 75 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación este ^ Certificación energética: no indicado ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Calle de la Iglesia, 36 -2-a^ Barrio Casco Antiguo ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^399.000
25665768^ 127 m² construidos, 102 m² útiles ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación este, oeste ^ Certificación energética: no indicado ^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Inspector Juan Antonio Bueno, 5^ Barrio Parque Lisboa - La Paz ^ Distrito Parque Lisboa - La Paz ^ Alcorcón ^ Zona sur, Madrid ^^^^^117.000
25735181^ 110 m² construidos, 105 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte, sur ^ Certificación energética: no indicado ^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^^^^^^Calle San Pedro, 26^ Barrio Casco Antiguo ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^119.000
26965061^ 97 m² construidos, 85 m² útiles ^ 2 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación este ^ Certificación energética: no indicado ^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Fuente Cisneros, 50^ Urb. PARQUE GOLF ^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^118.000
27429304^ 120 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Certificación energética: en trámite ^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle las Gardenias, 33^ Urb. SI ^ Barrio Parque Ondarreta - Urtinsa ^ Distrito Parque Ondarreta - Urtinsa ^ Alcorcón ^ Zona sur, Madrid ^^^^167.500
27548260^ 92 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^^^^Calle parque Bujaruelo, 10^ Barrio Parque Lisboa - La Paz ^ Distrito Parque Lisboa - La Paz ^ Alcorcón ^ Zona sur, Madrid ^^^^^159.500
28515260^ 160 m² construidos, 140 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte, oeste ^ Certificación energética: en trámite ^^^^^^^^ Bajo exterior ^ Con ascensor ^^^^^^^^Plaza Príncipes de España, 3^ Barrio Parque Lisboa - La Paz ^ Distrito Parque Lisboa - La Paz ^ Alcorcón ^ Zona sur, Madrid ^^^^^172.000
28529764^ 140 m² construidos, 114 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Leganés, 31^ Barrio Parque Lisboa - La Paz ^ Distrito Parque Lisboa - La Paz ^ Alcorcón ^ Zona sur, Madrid ^^^^^93.000
28835994^ 95 m² construidos, 90 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/para reformar ^ Armarios empotrados ^ Orientación este, oeste ^ Certificación energética: en trámite ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle Sierra de Alcubierre, 10^ Barrio Zona Centro Joven ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^125.000
29031526^ 120 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 8ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Porto Cristo, 6^ Barrio Parque Lisboa - La Paz ^ Distrito Parque Lisboa - La Paz ^ Alcorcón ^ Zona sur, Madrid ^^^^^265.000
29044026^ 95 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje por 9.000 eur adicionales ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^ Planta 8ª exterior ^ Con ascensor ^^^ Piscina ^^^^^Plaza Mayor, 2^ Urb. Parque Mayor ^ Barrio Parque Mayor ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^220.000
29144985^ 75 m² construidos, 65 m² útiles ^ 2 habitaciones ^ 1 baño ^ Plaza de garaje por 50 eur adicionales ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Pocillo, 6^ Barrio Zona Centro Joven ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^215.000
30326523^ 165 m² construidos, 100 m² útiles ^ 2 habitaciones ^ 3 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^ Planta 8ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Fuente Cisneros, 7^ Urb. FUENTE CISNEROS ^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^345.000
31053105^ 60 m² construidos, 50 m² útiles ^ 1 habitación ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle berlín, 16^ Urb. Urbanización Las Retamas ^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^246.000
31263812^ 198 m² construidos ^ 3 habitaciones ^ 3 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación oeste ^ Certificación energética: no indicado ^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle los lirios, 3^ Barrio Valderas - Los Castillos ^ Distrito Valderas - Los Castillos ^ Alcorcón ^ Zona sur, Madrid ^^^^^114.000
32192863^ 81 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^^^^^^^^^^^^^^^230.000
32854596^ 100 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación norte, este ^ Certificación energética: no indicado ^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle olimpico francisco fernández ochoa, 9^ Urb. IGUELDO ^ Barrio Parque Ondarreta - Urtinsa ^ Distrito Parque Ondarreta - Urtinsa ^ Alcorcón ^ Zona sur, Madrid ^^^^139.000
33200267^ 120 m² construidos, 110 m² útiles ^ Sin habitación ^ 2 baños ^ Plaza de garaje por 15.000 eur adicionales ^ Segunda mano/buen estado ^ Orientación sur, oeste ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle fuente cisneros, 31^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^^143.000
33241046^ 67 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur, este ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^^^^^^^^^^^^^^^250.000
33782282^ 75 m² construidos, 72 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/para reformar ^ Orientación norte, este ^ Certificación energética:  (373 kWh/m² año) ^^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^^^^^^^ Barrio Zona Centro Joven ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^168.000
34271316^ 75 m² construidos ^ Sin habitación ^ 1 baño ^ Certificación energética: en trámite ^^^^^^^^^^^^^ Bajo ^ Sin ascensor ^^^^^^^^^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^^130.000
34295100^ 140 m² construidos, 110 m² útiles ^ Sin habitación ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Travesía fuente cisneros, 35^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^^142.000
34295341^ 145 m² construidos, 112 m² útiles ^ Sin habitación ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Travesía fuente cisneros, 35^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^^240.000
34432930^ 100 m² construidos, 85 m² útiles ^ Sin habitación ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Trastero ^ Orientación oeste ^ Construido en 2008 ^ Certificación energética: no indicado ^^^^^^^^ Planta 1ª ^ Con ascensor ^^^^^^^^^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^^255.000
35446656^ 73 m² construidos ^ Sin habitación ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^^335.000
35458548^ 75 m² construidos, 68 m² útiles ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^Calle Sierra de Peñalara, 6^ Barrio Zona Centro Joven ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^99.900
35572408^ 118 m² construidos, 110 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/para reformar ^ Armarios empotrados ^ Construido en 1990 ^ Certificación energética: en trámite ^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^^^^^^Calle Calle Cabo de San Vicente, 12^ Urb. Paruqe Lisboa ^ Barrio Parque Lisboa - La Paz ^ Distrito Parque Lisboa - La Paz ^ Alcorcón ^ Zona sur, Madrid ^^^^395.000
35663327^ 105 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/para reformar ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^^^^^^Calle san pedro, 26^ Barrio Casco Antiguo ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^215.000
35671583^ 85 m² construidos, 75 m² útiles ^ 2 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación este ^ Certificación energética: no indicado ^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Fuente Cisneros, 46^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^^219.000
35763019^ 75 m² construidos ^ Sin habitación ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Trastero ^ Orientación oeste ^ Construido en 2004 ^ Certificación energética: inmueble exento ^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Avenida M-40, 9^ Urb. Skyline ^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^149.000
35819531^ 198 m² construidos ^ 4 habitaciones ^ 3 baños ^ Terraza ^ Certificación energética de proyecto:  (IPE no indicado) ^^^^^^^^^^^^ exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Calle Oslo s/n^ Barrio Parque oeste - Fuente Cisneros ^ Distrito Parque oeste - Fuente Cisneros ^ Alcorcón ^ Zona sur, Madrid ^^^^^90.000
35889201^ 75 m² construidos ^ Sin habitación ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^^149.000
35926524^ 55 m² construidos, 45 m² útiles ^ 1 habitación ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur, oeste ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle Porto Alegre^ Barrio Parque Lisboa - La Paz ^ Distrito Parque Lisboa - La Paz ^ Alcorcón ^ Zona sur, Madrid ^^^^^228.000
36085308^ 113 m² construidos ^ 3 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^^^^^^Avenida Leganés, 21^ Barrio Parque Lisboa - La Paz ^ Distrito Parque Lisboa - La Paz ^ Alcorcón ^ Zona sur, Madrid ^^^^^150.000
36139463^ 91 m² construidos, 73 m² útiles ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación norte, este ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^ exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^^ Barrio Valderas - Los Castillos ^ Distrito Valderas - Los Castillos ^ Alcorcón ^ Zona sur, Madrid ^^^^^175.000
36200091^ 65 m² construidos, 60 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ exterior ^ Sin ascensor ^^^^^^^^Calle guindales^ Barrio Zona Renfe ^ Distrito Centro ^ Alcorcón ^ Zona sur, Madrid ^^^^^95.000
36463077^ 75 m² construidos ^ Sin habitación ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Certificación energética: en trámite ^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^^135.000
36548470^ 75 m² construidos ^ Sin habitación ^ 1 baño ^ Certificación energética: en trámite ^^^^^^^^^^^^^ Bajo ^ Sin ascensor ^^^^^^^^^ Barrio Campodón - Ventorro del Cano ^ Distrito Campodón - Ventorro del Cano ^ Alcorcón ^ Zona sur, Madrid ^^^^^232.800
36599769^ 90 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur ^ Construido en 2005 ^ Certificación energética: en trámite ^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Barrio Prado de Santo Domingo ^ Distrito Prado de Santo Domingo ^ Alcorcón ^ Zona sur, Madrid ^^^^^185.000
36720528^ 90 m² construidos, 85 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación norte ^ Certificación energética:  (IPE no indicado) ^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Sapporo, 6^ Barrio Parque Ondarreta - Urtinsa ^ Distrito Parque Ondarreta - Urtinsa ^ Alcorcón ^ Zona sur, Madrid ^^^^^259.000
36750495^ 198 m² construidos ^ 3 habitaciones ^ 3 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle los Lirios, 3^ Barrio Valderas - Los Castillos ^ Distrito Valderas - Los Castillos ^ Alcorcón ^ Zona sur, Madrid ^^^^^118.500
