^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
28495092^ 130 m² construidos ^ 4 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur ^ Certificación energética: no indicado ^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle Pléyades, 25^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^270000
28741802^ 110 m² construidos, 85 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 2009 ^ Certificación energética:  (IPE no indicado) ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Calle Pegaso^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^225000
28742522^ 80 m² construidos, 60 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle parque America^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^106000
28868204^ 150 m² construidos, 140 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Paseo de Móstoles, 53^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^208000
28892186^ 154 m² construidos ^ 5 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje por 20.000 eur adicionales ^ Segunda mano/para reformar ^ Armarios empotrados ^ Orientación norte, oeste ^ Certificación energética: en trámite ^^^^^^^^ Planta 10ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle Salvador Dalí, 4^ Urb. Estoril II ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^230000
29221317^ 110 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Calle Veracruz, 28^ Urb. Versalles ^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^156000
29955334^ 70 m² construidos, 60 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Construido en 1968 ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 3ª interior ^ Sin ascensor ^^^^^^^^Avenida Constitución^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^97000
30878179^ 91 m² construidos, 87 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Calle de los Órganos, 1^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^195000
31671882^ 80 m² construidos, 65 m² útiles ^ Sin habitación ^ 1 baño ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^155000
32525952^ 70 m² construidos, 55 m² útiles ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 2005 ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle del pilar^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^114900
32594858^ 55 m² construidos ^ 1 habitación ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^ pintor velazquez, 41^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^153000
32772222^ 86 m² construidos ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Avenida carlos v^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^165000
33083442^ 107 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Camino de humanes, 9010^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^239000
33083458^ 103 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Camino de humanes, 9010^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^215000
33083459^ 111 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Camino de humanes, 9010^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^229000
33083520^ 104 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Camino de humanes, 9010^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^280000
33083521^ 105 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Camino de humanes, 9010^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^294000
33325138^ 113 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ exterior ^ Con ascensor ^^^ Piscina ^^^^^Avenida Estrella Polar, 20^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^269900
33596183^ 157 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: inmueble exento ^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle del tamarindo, 14^ Urb. parque coimbra ^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^200000
33629108^ 230 m² construidos ^ 5 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación este, oeste ^ Certificación energética: no indicado ^^^^^^^ Planta 9ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle juan de juanes, 1^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^320000
33689289^ 82 m² construidos ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle de la haya, 30^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^165000
34068862^ 100 m² construidos, 85 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Certificación energética: en trámite ^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle clavel, 15^ Urb. las flores ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^240000
34246454^ 60 m² construidos ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Orientación este ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^Calle agustina de aragón, 4^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^85000
