^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
39239193^ 95 m² construidos, 85 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/para reformar ^ Orientación norte ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle Miguel Ángel, 6^ Urb. las nieves ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^235000
39241923^ 56 m² construidos, 53 m² útiles ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 1972 ^ Certificación energética: en trámite ^^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^^^^^^Calle Río Jarama^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^105000
39246899^ 110 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Certificación energética: en trámite ^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^^^^Calle del Pintor el Greco^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^169000
39247024^ 113 m² construidos ^ 3 habitaciones ^ 3 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida de la Osa Menor, 56^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^249000
39247027^ 118 m² construidos ^ 3 habitaciones ^ 3 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^ exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida de la Osa Menor, 56^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^241000
39247037^ 136 m² construidos ^ 4 habitaciones ^ 3 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^ exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida de la Osa Menor, 56^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^261000
39247056^ 115 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^ exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida de la Osa Menor, 56^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^255000
39254096^ 85 m² construidos, 80 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^92999
39254545^ 120 m² construidos, 110 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Avenida carlos v^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^156000
39256715^ 75 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^^^^^^Calle de las Palmas^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^93000
39263673^ 70 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^^ Entreplanta exterior ^ Sin ascensor ^^^^^^^^Avenida de Portugal^ Distrito El Soto - Coveta ^ Móstoles ^ Zona sur, Madrid ^^^^^^109700
39270701^ 110 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^ Planta 12ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^199000
39271134^ 88 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Construido en 2003 ^ Certificación energética: en trámite ^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Maestros^ Urb. Nuevo Soto ^ Distrito El Soto - Coveta ^ Móstoles ^ Zona sur, Madrid ^^^^^199000
39273438^ 74 m² construidos ^ 1 habitación ^ 1 baño ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^^^ Bajo ^ Sin ascensor ^^^^^^^^Calle alonso cano, 2^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^78900
39276833^ 180 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle de la Haya, 1^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^250000
39276853^ 90 m² construidos ^ 4 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/para reformar ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^126000
39281925^ 75 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^155000
39282850^ 100 m² construidos, 95 m² útiles ^ 4 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^140000
39283962^ 83 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación este ^ Construido en 1988 ^ Certificación energética: en trámite ^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Pintor Velazquez^ Distrito El Soto - Coveta ^ Móstoles ^ Zona sur, Madrid ^^^^^^150000
39290795^ 112 m² construidos, 90 m² útiles ^ 4 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: no indicado ^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle Unicornio, 43^ Urb. Sí ^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^225000
39291279^ 75 m² construidos, 70 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Avenida de la Constitucion, 1^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^138000
39294038^ 115 m² construidos, 109 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/para reformar ^ Armarios empotrados ^ Orientación sur, este ^ Construido en 1977 ^ Certificación energética: en trámite ^^^^^^^^ Bajo exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle PINTOR VELAZQUEZ, 3^ Urb. ESTORIL 3 ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^210000
39294532^ 85 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación oeste ^ Certificación energética: no indicado ^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Oviedo, 1^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^89000
39295022^ 95 m² construidos, 87 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Construido en 1975 ^ Certificación energética: no indicado ^^^^^^^^^^^ Planta 3ª ^ Sin ascensor ^^^^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^128700
39296117^ 137 m² construidos ^ 4 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida de la Osa menor, 34^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^238000
39299871^ 80 m² construidos, 72 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 1ª interior ^ Con ascensor ^^^ Jardín ^^^^^Calle la paz, 3^ Urb. urbanización privada ^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^159000
39302131^ 120 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur ^ Construido en 1976 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^Paseo de Goya^ Urb. estoril II ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^189000
39303024^ 120 m² construidos, 105 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 1975 ^ Certificación energética: en trámite ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Urb. VILLAFONTANA II^ Urb. VILLAFONTANA II ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^180000
39306997^ 105 m² construidos, 90 m² útiles ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación sur, este ^ Construido en 2007 ^ Certificación energética: en trámite ^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle de Orión^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^176950
39309424^ 115 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Urb. VILLAFONTANA II^ Urb. VILLAFONTANA II ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^185000
39310216^ 74 m² construidos ^ 1 habitación ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^^ Bajo ^^^^^^^^^Calle alonso cano^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^78900
39314103^ 240 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación este ^ Certificación energética: en trámite ^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^ alonso cano^ Urb. ESTORIL II ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^285000
39314383^ 92 m² construidos ^ 3 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^ C/Rejilla^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^134500
39315202^ 300 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Construido en 1978 ^ Certificación energética:  (248 kWh/m² año) ^^^^^^^ Planta 8ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^293000
39316119^ 65 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Construido en 1973 ^ Certificación energética: en trámite ^^^^^^^^^^^ Bajo exterior ^ Sin ascensor ^^^^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^99000
39321453^ 55 m² construidos, 46 m² útiles ^ 1 habitación ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte, oeste ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^ tulipan^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^110000
39321477^ 70 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Orientación sur ^ Construido en 1974 ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^140000
39324240^ 220 m² construidos ^ 4 habitaciones ^ 3 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Alonso Cano^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^285000
39324491^ 71 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^^^^^^Calle Huesca^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^87000
39329453^ 132 m² construidos, 85 m² útiles ^ 3 habitaciones ^ 1 baño ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Orientación norte, este ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 3ª ^ Con ascensor ^^^^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^225000
39333824^ 124 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle del Camino de Leganés^ Urb. VILLAFONTANA ^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^185000
39336200^ 120 m² construidos ^ 4 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Construido en 1975 ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Urb. ESTORIL 2^ Urb. ESTORIL 2 ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^176000
39336337^ 69 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Certificación energética:  (IPE no indicado) ^ Acceso adaptado a personas con movilidad reducida ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Calle Las Palmas^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^109000
39336937^ 108 m² construidos ^ 3 habitaciones ^ 2 baños ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^^^^^^Calle Toledo, 20^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^155000
39336946^ 105 m² construidos ^ 3 habitaciones ^ 2 baños ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Calle Toledo, 20^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^155000
39336961^ 94 m² construidos ^ 2 habitaciones ^ 2 baños ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Calle Toledo, 20^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^139900
39336969^ 105 m² construidos ^ 3 habitaciones ^ 2 baños ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Calle Toledo, 20^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^159900
39336975^ 94 m² construidos ^ 2 habitaciones ^ 2 baños ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Calle Toledo, 20^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^142900
39336992^ 105 m² construidos ^ 3 habitaciones ^ 2 baños ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle Toledo, 20^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^161900
39336998^ 94 m² construidos ^ 2 habitaciones ^ 2 baños ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle Toledo, 20^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^145900
39340454^ 80 m² construidos, 75 m² útiles ^ 2 habitaciones ^ 1 baño ^ Balcón ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^ Vivienda apta para su uso por personas con movilidad reducida ^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^149000
39342322^ 157 m² construidos ^ 4 habitaciones ^ 3 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^200000
39344367^ 80 m² construidos, 73 m² útiles ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Orientación sur ^ Construido en 2008 ^ Certificación energética: no indicado ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^166000
39347564^ 120 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje por 30.000 eur adicionales ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Construido en 1976 ^ Certificación energética: en trámite ^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^^^^^^ estoril ll^ Urb. estoril ll ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^209000
39350490^ 142 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Alcalde de Móstoles , 10^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^324100
39350667^ 134 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Alcalde de Móstoles , 10^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^344000
39350671^ 117 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Alcalde de Móstoles , 10^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^304100
39350672^ 93 m² construidos ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Alcalde de Móstoles , 10^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^253600
39350673^ 116 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Alcalde de Móstoles , 10^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^308600
39350678^ 161 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Alcalde de Móstoles , 10^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^361600
39350679^ 91 m² construidos ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Alcalde de Móstoles , 10^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^247600
39351540^ 110 m² construidos, 98 m² útiles ^ 4 habitaciones ^ 3 baños ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación norte ^ Construido en 1970 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^^^^^^^^^180000
39352938^ 80 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^124900
39353397^ 94 m² construidos, 84 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Balcón ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Construido en 1978 ^ Certificación energética: en trámite ^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Piscina ^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^199900
39357256^ 95 m² construidos ^ 4 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Construido en 1985 ^ Certificación energética del edificio terminado:  (IPE no indicado) ^^^^^^^^^^^ exterior ^ Con ascensor ^^^^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^146000
39357724^ 90 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Construido en 1976 ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^99000
39357751^ 60 m² construidos ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Construido en 1976 ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Entreplanta interior ^ Sin ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^92000
39358117^ 300 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Construido en 1978 ^ Certificación energética:  (283 kWh/m² año) ^^^^^^^ Planta 8ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^318000
39366869^ 65 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Construido en 1973 ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^^^^^^Calle Parque Vosa^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^119300
39368034^ 90 m² construidos, 85 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje por 5.000 eur adicionales ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^133000
39371539^ 75 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Balcón ^ Segunda mano/buen estado ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^ DESARROLLO^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^120000
39372615^ 118 m² construidos, 100 m² útiles ^ 4 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^175000
39376213^ 147 m² construidos, 138 m² útiles ^ 4 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación este ^ Certificación energética: no indicado ^^^^^^^^^ Planta 7ª ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle niza, 2^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^279900
39377571^ 149 m² construidos, 140 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^ Vivienda apta para su uso por personas con movilidad reducida ^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^175000
