,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39682773," 78 m² construidos, 55 m² útiles ", 3 habitaciones , 1 baño , Certificación energética: en trámite ,,,,,,,,,,,,, , Sin ascensor ,,,,,,,,"Paseo de extremadura, 2 r", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,447.000
39684078, 125 m² construidos , 3 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,434.000
39684421, 160 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,370.000
39684734, 75 m² construidos , 4 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,,,,,,,, Distrito Suroeste , Móstoles ," Zona sur, Madrid ",,,,,,223.000
39685774, 92 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,416.000
39686455, 90 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 3ª exterior , Sin ascensor ,,,,,,,,, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,115.000
39686616, 110 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,,, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,150.000
39686858, 100 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 8ª exterior , Con ascensor ,,,,,,,,, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,129.000
39687050, 80 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Con ascensor ,,,,,,,,, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,169.000
39687232, 95 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 3ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Sur , Móstoles ," Zona sur, Madrid ",,,,,,190.000
39687450, 120 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 2ª exterior , Con ascensor ,,, Jardín ,,,,,, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,134.900
39687585, 78 m² construidos , Sin habitación , 1 baño , Terraza , Segunda mano/buen estado , Orientación norte , Certificación energética: en trámite ,,,,,,,,,, Bajo exterior , Sin ascensor ,,, Aire acondicionado , Jardín ,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,140.000
39687778, 100 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,,,,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,155.000
39687894, 80 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,,,,,,,, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,265.000
39689871, 85 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,,,, Planta 7ª exterior , Con ascensor ,,, Aire acondicionado , Jardín ,,,,, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,115.000
39689997, 75 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,,, Planta 1ª exterior , Sin ascensor ,,,,,,,,Avenida Cerro Prieto, Distrito Suroeste , Móstoles ," Zona sur, Madrid ",,,,,,230.000
39690318, 130 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,, Planta 2ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,174.900
39690437, 75 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,150.000
39690483, 70 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/para reformar , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,,Paseo de Arroyomolinos, Distrito Suroeste , Móstoles ," Zona sur, Madrid ",,,,,,109.000
39690545, 70 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 4ª exterior , Sin ascensor ,,,,,,,,Paseo de Arroyomolinos, Distrito Suroeste , Móstoles ," Zona sur, Madrid ",,,,,,123.000
39691269, 120 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,, Planta 2ª exterior , Con ascensor ,,, Jardín ,,,,,Urb. VILLAFONTANA II, Urb. VILLAFONTANA II , Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,129.000
39691354, 135 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,139.000
39691388, 120 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,, Planta 5ª exterior , Con ascensor ,,, Jardín ,,,,,Urb. VILLAFONTANA II, Urb. VILLAFONTANA II , Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,139.000
39691401, 89 m² construidos , 2 habitaciones , 2 baños , Promoción de obra nueva , Certificación energética de proyecto:  (IPE no indicado) ,,,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,, Piscina ,,,,,"Calle Río Duero, 17", Distrito Suroeste , Móstoles ," Zona sur, Madrid ",,,,,,206.000
39691443, 110 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Con ascensor ,,,,,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,135.000
39691586, 65 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Construido en 1974 , Certificación energética: en trámite ,,,,,,,,,, Planta 1ª exterior , Sin ascensor ,,,,,,,,, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,360.000
39691815, 85 m² construidos , 3 habitaciones , 1 baño , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Construido en 1974 , Certificación energética:  (308 kWh/m² año) , Acceso adaptado a personas con movilidad reducida ,,,,,,,, Planta 1ª exterior , Con ascensor ,,,,,,,,, Distrito Centro , Móstoles ," Zona sur, Madrid ",,,,,,116.000
39692389, 100 m² construidos , 3 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 2ª exterior , Con ascensor ,,, Jardín ,,,,,, Distrito Este , Móstoles ," Zona sur, Madrid ",,,,,,198.670
39692702, 90 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 3ª exterior , Con ascensor ,,,,,,,,, Distrito Suroeste , Móstoles ," Zona sur, Madrid ",,,,,,135.000
39693224, 128 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Promoción de obra nueva , Trastero , Certificación energética de proyecto:  (IPE no indicado) ,,,,,,,,, exterior , Con ascensor ,,, Piscina , Jardín ,,,,"Avenida Abogados de Atocha, 7", Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,139.057
39694245, 135 m² construidos , 4 habitaciones , 2 baños , Terraza , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,, Planta 6ª exterior , Con ascensor ,,, Aire acondicionado , Jardín ,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,93.000
39694654, 100 m² construidos , 4 habitaciones , 2 baños , Terraza , Segunda mano/buen estado , Armarios empotrados , Certificación energética: en trámite ,,,,,,,,,, Planta 3ª exterior , Con ascensor ,,, Jardín ,,,,,, Distrito Norte - Universidad , Móstoles ," Zona sur, Madrid ",,,,,,160.000
